"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.954,0,0.0052844067,5.0273e-06,56.77
"deconvolveR",0.98,0,0.0061488554,1.00424e-05,60.12
"NoisyVar",0.8885,0,0.0041951878,2.7567e-06,84.6
