"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.82,0,0.0385988763,0.000212085,2.28
"deconvolveR",0.981,0,0.0920699595,0.0006407433,5.94
"NoisyVar",0.879,0,0.0429822796,2.94881e-05,3.19
