"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9365,0,0.0049066367,1.32306e-05,7.81
"deconvolveR",0.977,0,0.0061150423,1.51038e-05,11.12
"NoisyVar",0.8825,0,0.0041597956,2.7077e-06,85.2
