"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.877,0,0.0768228935,0.0002029105,2.23
"deconvolveR",0.9855,0,0.1374072989,0.0004355527,5.85
"NoisyVar",0.822,0,0.070848123,4.77436e-05,2.84
