"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9405,0,0.0095176348,1.41245e-05,6.29
"deconvolveR",0.951,0,0.0102046808,1.26964e-05,9.87
"NoisyVar",0.869,0,0.0075860634,5.0665e-06,26.64
