"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.8295,0,0.0203579307,0.0001066138,2.22
"deconvolveR",0.9975,0,0.0611291407,0.0003151825,5.66
"NoisyVar",0.844,0,0.0254284423,1.60559e-05,4.16
