"method","CI coverage (mean): level=0.8","CI coverage2 (mean): level=0.8","CI width (mean): level=0.8","CI width (se): level=0.8","time"
"clean_bootstrap",0.8125,0,0.0033391924,9.008e-06,7.75
"deconvolveR",0.79,0,0.0033955934,8.2091e-06,11.07
"NoisyVar",0.6965,0,0.0027275881,1.6793e-06,85.8
