"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8265,0,0.0071636707,3.87308e-05,2.53
"deconvolveR",0.969,0,0.0155803116,0.0001124358,8.14
"NoisyVar",0.87,0,0.0075861186,5.0556e-06,27.06
