"method","CI coverage (mean): level=0.8","CI coverage2 (mean): level=0.8","CI width (mean): level=0.8","CI width (se): level=0.8","time"
"clean_bootstrap",0.8155,0,0.0032597131,1.11068e-05,5.6
"deconvolveR",0.7815,0,0.0034520607,1.17234e-05,9.17
"NoisyVar",0.6975,0,0.0027339669,1.6742e-06,85.8
