"method","CI coverage (mean): level=0.8","CI coverage2 (mean): level=0.8","CI width (mean): level=0.8","CI width (se): level=0.8","time"
"clean_bootstrap",0.822,0,0.0100104012,4.36559e-05,2.59
"deconvolveR",0.871,0,0.014573427,7.0198e-05,6.25
"NoisyVar",0.7,0,0.0093489501,5.698e-06,10.15
