"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.8765,0,0.0040782984,1.29365e-05,5.64
"deconvolveR",0.9005,0,0.0047727435,1.83e-05,9.27
"NoisyVar",0.8115,0,0.0035251521,2.1843e-06,85.8
