"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9515,0,0.1668185726,0.0001508273,31.12
"deconvolveR",1,0,0.6074438756,0.0007072722,35.62
"NoisyVar",0.894,0,0.1422256924,0.0001136451,2.68
