"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.89,0,0.0042189338,1.09407e-05,7.64
"deconvolveR",0.9085,0,0.0045976117,1.2369e-05,11.09
"NoisyVar",0.8065,0,0.0035025921,2.1286e-06,85.8
