"method","CI coverage (mean): level=0.8","CI coverage2 (mean): level=0.8","CI width (mean): level=0.8","CI width (se): level=0.8","time"
"clean_bootstrap",0.6715,0,0.0024100307,1.96092e-05,3.58
"deconvolveR",0.811,0,0.0049409164,5.53014e-05,11.06
"NoisyVar",0.696,0,0.0027274173,1.6872e-06,85.2
