"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9495,0,0.0096877804,6.3131e-06,25.98
"deconvolveR",0.947,0,0.0097123528,9.5909e-06,29.69
"NoisyVar",0.872,0,0.0075918253,5.0543e-06,26.7
