"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.908,0,0.0043345142,8.5498e-06,13.46
"deconvolveR",0.91,0,0.0045465328,7.9795e-06,17.74
"NoisyVar",0.805,0,0.0034960264,2.1517e-06,85.8
