"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9115,0,0.0045005581,1.76626e-05,4.31
"deconvolveR",0.977,0,0.0070812491,3.06539e-05,9.41
"NoisyVar",0.88,0,0.0041598735,2.726e-06,85.8
