"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.9045,0,0.0251122806,4.84687e-05,2.51
"deconvolveR",0.8925,0,0.0256517702,5.4285e-05,6.09
"NoisyVar",0.8155,0,0.0202481218,1.27497e-05,4.3
