"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.909,0,0.0044054835,5.9895e-06,23.62
"deconvolveR",0.9105,0,0.0045704466,9.8028e-06,26.94
"NoisyVar",0.8095,0,0.0035245187,2.1502e-06,85.2
