"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.954,0,0.0052844067,5.0273e-06,56.19
"deconvolveR",0.96,0,0.0054635648,4.1617e-06,59.37
"NoisyVar",0.8805,0,0.0041588989,2.7144e-06,85.2
