"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9515,0,0.1668185726,0.0001508273,24.85
"deconvolveR",1,0.9505,1.2003008651,0.0013958479,29.47
"NoisyVar",0.9135,0,0.1710793231,0.0001451548,2.38
