"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.6665,0,0.0093926606,7.71972e-05,2.49
"deconvolveR",0.897,0,0.026303525,0.0003293197,8.65
"NoisyVar",0.8825,0,0.0131578562,8.7814e-06,10.04
