"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.8995,0,0.1397693466,0.0001468485,30.23
"deconvolveR",1,1,1.9857310884,0.0027273767,34.48
"NoisyVar",0.8815,0,0.2555878973,0.0001982482,2.42
