"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.8985,0,0.0081406166,5.0499e-06,25.95
"deconvolveR",0.896,0,0.0081503911,5.2436e-06,29.19
"NoisyVar",0.7985,0,0.0063800587,3.9606e-06,26.71
