"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.919,0,0.0089658338,2.42739e-05,3.15
"deconvolveR",0.9625,0,0.0111614905,2.86511e-05,6.56
"NoisyVar",0.868,0,0.0075881472,5.0639e-06,26.81
