"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9515,0,0.0962241724,9.56657e-05,29.61
"deconvolveR",1,1,1.5810107205,0.0021960095,32.88
"NoisyVar",0.9385,0,0.1985577049,0.0001409137,2.83
