"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.9115,0,0.0038957808,1.6312e-05,4.38
"deconvolveR",0.909,0,0.0050437578,2.1256e-05,8.93
"NoisyVar",0.809,0,0.0034969678,2.1661e-06,85.8
