"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.9005,0,0.0788403074,0.0001514743,2.45
"deconvolveR",0.941,0,0.0982013891,0.0002484099,5.8
"NoisyVar",0.8025,0,0.0656279126,4.3265e-05,2.83
