"method","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9465,0,0.0947551579,0.0001426642,2.71
"deconvolveR",1,0,0.2410484055,0.0004491195,6.54
"NoisyVar",0.8875,0,0.0842753426,6.1399e-05,2.85
