"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.8225,0,0.0035016323,1.87516e-05,3.65
"deconvolveR",0.9215,0,0.0058111051,3.66326e-05,8.73
"NoisyVar",0.8065,0,0.0034957,2.157e-06,85.8
