"method","CI coverage (mean): level=0.8","CI coverage2 (mean): level=0.8","CI width (mean): level=0.8","CI width (se): level=0.8","time"
"clean_bootstrap",0.804,0,0.0034493305,4.7755e-06,23.88
"deconvolveR",0.788,0,0.0033990974,4.2088e-06,27.68
"NoisyVar",0.6965,0,0.0027276028,1.687e-06,85.8
