"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.9115,0,0.0038957808,1.6312e-05,4.38
"deconvolveR",0.91,0,0.0050460857,2.17192e-05,9.46
"NoisyVar",0.81,0,0.0034972752,2.1572e-06,85.8
