"variable","value","deconvolution_method"
"clean_bootstrap",0.058,"clean_bootstrap"
"clean_bootstrap",0.06,"clean_bootstrap"
"clean_bootstrap",0.06,"clean_bootstrap"
"clean_bootstrap",0.06,"clean_bootstrap"
"clean_bootstrap",0.06,"clean_bootstrap"
"clean_bootstrap",0.062,"clean_bootstrap"
"clean_bootstrap",0.062,"clean_bootstrap"
"clean_bootstrap",0.062,"clean_bootstrap"
"clean_bootstrap",0.062,"clean_bootstrap"
"clean_bootstrap",0.062,"clean_bootstrap"
"clean_bootstrap",0.062,"clean_bootstrap"
"clean_bootstrap",0.062,"clean_bootstrap"
"clean_bootstrap",0.062,"clean_bootstrap"
"clean_bootstrap",0.062,"clean_bootstrap"
"clean_bootstrap",0.064,"clean_bootstrap"
"clean_bootstrap",0.064,"clean_bootstrap"
"clean_bootstrap",0.066,"clean_bootstrap"
"clean_bootstrap",0.066,"clean_bootstrap"
"clean_bootstrap",0.068,"clean_bootstrap"
"clean_bootstrap",0.068,"clean_bootstrap"
"clean_bootstrap",0.068,"clean_bootstrap"
"clean_bootstrap",0.068,"clean_bootstrap"
"clean_bootstrap",0.068,"clean_bootstrap"
"clean_bootstrap",0.07,"clean_bootstrap"
"clean_bootstrap",0.07,"clean_bootstrap"
"clean_bootstrap",0.072,"clean_bootstrap"
"clean_bootstrap",0.072,"clean_bootstrap"
"clean_bootstrap",0.072,"clean_bootstrap"
"clean_bootstrap",0.072,"clean_bootstrap"
"clean_bootstrap",0.074,"clean_bootstrap"
"clean_bootstrap",0.074,"clean_bootstrap"
"clean_bootstrap",0.078,"clean_bootstrap"
"clean_bootstrap",0.078,"clean_bootstrap"
"clean_bootstrap",0.078,"clean_bootstrap"
"clean_bootstrap",0.078,"clean_bootstrap"
"clean_bootstrap",0.078,"clean_bootstrap"
"clean_bootstrap",0.078,"clean_bootstrap"
"clean_bootstrap",0.08,"clean_bootstrap"
"clean_bootstrap",0.08,"clean_bootstrap"
"clean_bootstrap",0.082,"clean_bootstrap"
"clean_bootstrap",0.082,"clean_bootstrap"
"clean_bootstrap",0.084,"clean_bootstrap"
"clean_bootstrap",0.084,"clean_bootstrap"
"clean_bootstrap",0.086,"clean_bootstrap"
"clean_bootstrap",0.086,"clean_bootstrap"
"clean_bootstrap",0.088,"clean_bootstrap"
"clean_bootstrap",0.088,"clean_bootstrap"
"clean_bootstrap",0.088,"clean_bootstrap"
"clean_bootstrap",0.088,"clean_bootstrap"
"clean_bootstrap",0.088,"clean_bootstrap"
"clean_bootstrap",0.088,"clean_bootstrap"
"clean_bootstrap",0.088,"clean_bootstrap"
"clean_bootstrap",0.09,"clean_bootstrap"
"clean_bootstrap",0.09,"clean_bootstrap"
"clean_bootstrap",0.092,"clean_bootstrap"
"clean_bootstrap",0.092,"clean_bootstrap"
"clean_bootstrap",0.094,"clean_bootstrap"
"clean_bootstrap",0.094,"clean_bootstrap"
"clean_bootstrap",0.094,"clean_bootstrap"
"clean_bootstrap",0.094,"clean_bootstrap"
"clean_bootstrap",0.094,"clean_bootstrap"
"clean_bootstrap",0.094,"clean_bootstrap"
"clean_bootstrap",0.094,"clean_bootstrap"
"clean_bootstrap",0.094,"clean_bootstrap"
"clean_bootstrap",0.096,"clean_bootstrap"
"clean_bootstrap",0.096,"clean_bootstrap"
"clean_bootstrap",0.096,"clean_bootstrap"
"clean_bootstrap",0.096,"clean_bootstrap"
"clean_bootstrap",0.096,"clean_bootstrap"
"clean_bootstrap",0.096,"clean_bootstrap"
"clean_bootstrap",0.098,"clean_bootstrap"
"clean_bootstrap",0.098,"clean_bootstrap"
"clean_bootstrap",0.098,"clean_bootstrap"
"clean_bootstrap",0.098,"clean_bootstrap"
"clean_bootstrap",0.098,"clean_bootstrap"
"clean_bootstrap",0.098,"clean_bootstrap"
"clean_bootstrap",0.1,"clean_bootstrap"
"clean_bootstrap",0.1,"clean_bootstrap"
"clean_bootstrap",0.1,"clean_bootstrap"
"clean_bootstrap",0.1,"clean_bootstrap"
"clean_bootstrap",0.102,"clean_bootstrap"
"clean_bootstrap",0.104,"clean_bootstrap"
"clean_bootstrap",0.104,"clean_bootstrap"
"clean_bootstrap",0.106,"clean_bootstrap"
"clean_bootstrap",0.106,"clean_bootstrap"
"clean_bootstrap",0.106,"clean_bootstrap"
"clean_bootstrap",0.106,"clean_bootstrap"
"clean_bootstrap",0.108,"clean_bootstrap"
"clean_bootstrap",0.108,"clean_bootstrap"
"clean_bootstrap",0.108,"clean_bootstrap"
"clean_bootstrap",0.108,"clean_bootstrap"
"clean_bootstrap",0.11,"clean_bootstrap"
"clean_bootstrap",0.11,"clean_bootstrap"
"clean_bootstrap",0.11,"clean_bootstrap"
"clean_bootstrap",0.11,"clean_bootstrap"
"clean_bootstrap",0.112,"clean_bootstrap"
"clean_bootstrap",0.112,"clean_bootstrap"
"clean_bootstrap",0.114,"clean_bootstrap"
"clean_bootstrap",0.114,"clean_bootstrap"
"clean_bootstrap",0.116,"clean_bootstrap"
"clean_bootstrap",0.118,"clean_bootstrap"
"clean_bootstrap",0.122,"clean_bootstrap"
"clean_bootstrap",0.122,"clean_bootstrap"
"clean_bootstrap",0.122,"clean_bootstrap"
"clean_bootstrap",0.124,"clean_bootstrap"
"clean_bootstrap",0.124,"clean_bootstrap"
"clean_bootstrap",0.126,"clean_bootstrap"
"clean_bootstrap",0.126,"clean_bootstrap"
"clean_bootstrap",0.128,"clean_bootstrap"
"clean_bootstrap",0.128,"clean_bootstrap"
"clean_bootstrap",0.128,"clean_bootstrap"
"clean_bootstrap",0.13,"clean_bootstrap"
"clean_bootstrap",0.13,"clean_bootstrap"
"clean_bootstrap",0.13,"clean_bootstrap"
"clean_bootstrap",0.13,"clean_bootstrap"
"clean_bootstrap",0.132,"clean_bootstrap"
"clean_bootstrap",0.134,"clean_bootstrap"
"clean_bootstrap",0.134,"clean_bootstrap"
"clean_bootstrap",0.134,"clean_bootstrap"
"clean_bootstrap",0.134,"clean_bootstrap"
"clean_bootstrap",0.134,"clean_bootstrap"
"clean_bootstrap",0.136,"clean_bootstrap"
"clean_bootstrap",0.138,"clean_bootstrap"
"clean_bootstrap",0.138,"clean_bootstrap"
"clean_bootstrap",0.138,"clean_bootstrap"
"clean_bootstrap",0.14,"clean_bootstrap"
"clean_bootstrap",0.14,"clean_bootstrap"
"clean_bootstrap",0.14,"clean_bootstrap"
"clean_bootstrap",0.14,"clean_bootstrap"
"clean_bootstrap",0.14,"clean_bootstrap"
"clean_bootstrap",0.142,"clean_bootstrap"
"clean_bootstrap",0.142,"clean_bootstrap"
"clean_bootstrap",0.142,"clean_bootstrap"
"clean_bootstrap",0.144,"clean_bootstrap"
"clean_bootstrap",0.144,"clean_bootstrap"
"clean_bootstrap",0.146,"clean_bootstrap"
"clean_bootstrap",0.146,"clean_bootstrap"
"clean_bootstrap",0.146,"clean_bootstrap"
"clean_bootstrap",0.146,"clean_bootstrap"
"clean_bootstrap",0.146,"clean_bootstrap"
"clean_bootstrap",0.148,"clean_bootstrap"
"clean_bootstrap",0.148,"clean_bootstrap"
"clean_bootstrap",0.148,"clean_bootstrap"
"clean_bootstrap",0.148,"clean_bootstrap"
"clean_bootstrap",0.148,"clean_bootstrap"
"clean_bootstrap",0.148,"clean_bootstrap"
"clean_bootstrap",0.15,"clean_bootstrap"
"clean_bootstrap",0.15,"clean_bootstrap"
"clean_bootstrap",0.15,"clean_bootstrap"
"clean_bootstrap",0.152,"clean_bootstrap"
"clean_bootstrap",0.152,"clean_bootstrap"
"clean_bootstrap",0.152,"clean_bootstrap"
"clean_bootstrap",0.152,"clean_bootstrap"
"clean_bootstrap",0.154,"clean_bootstrap"
"clean_bootstrap",0.154,"clean_bootstrap"
"clean_bootstrap",0.154,"clean_bootstrap"
"clean_bootstrap",0.154,"clean_bootstrap"
"clean_bootstrap",0.154,"clean_bootstrap"
"clean_bootstrap",0.156,"clean_bootstrap"
"clean_bootstrap",0.156,"clean_bootstrap"
"clean_bootstrap",0.156,"clean_bootstrap"
"clean_bootstrap",0.156,"clean_bootstrap"
"clean_bootstrap",0.16,"clean_bootstrap"
"clean_bootstrap",0.16,"clean_bootstrap"
"clean_bootstrap",0.16,"clean_bootstrap"
"clean_bootstrap",0.16,"clean_bootstrap"
"clean_bootstrap",0.162,"clean_bootstrap"
"clean_bootstrap",0.162,"clean_bootstrap"
"clean_bootstrap",0.162,"clean_bootstrap"
"clean_bootstrap",0.162,"clean_bootstrap"
"clean_bootstrap",0.162,"clean_bootstrap"
"clean_bootstrap",0.162,"clean_bootstrap"
"clean_bootstrap",0.164,"clean_bootstrap"
"clean_bootstrap",0.164,"clean_bootstrap"
"clean_bootstrap",0.164,"clean_bootstrap"
"clean_bootstrap",0.164,"clean_bootstrap"
"clean_bootstrap",0.166,"clean_bootstrap"
"clean_bootstrap",0.166,"clean_bootstrap"
"clean_bootstrap",0.166,"clean_bootstrap"
"clean_bootstrap",0.166,"clean_bootstrap"
"clean_bootstrap",0.166,"clean_bootstrap"
"clean_bootstrap",0.166,"clean_bootstrap"
"clean_bootstrap",0.166,"clean_bootstrap"
"clean_bootstrap",0.168,"clean_bootstrap"
"clean_bootstrap",0.168,"clean_bootstrap"
"clean_bootstrap",0.168,"clean_bootstrap"
"clean_bootstrap",0.17,"clean_bootstrap"
"clean_bootstrap",0.172,"clean_bootstrap"
"clean_bootstrap",0.172,"clean_bootstrap"
"clean_bootstrap",0.172,"clean_bootstrap"
"clean_bootstrap",0.172,"clean_bootstrap"
"clean_bootstrap",0.172,"clean_bootstrap"
"clean_bootstrap",0.172,"clean_bootstrap"
"clean_bootstrap",0.174,"clean_bootstrap"
"clean_bootstrap",0.174,"clean_bootstrap"
"clean_bootstrap",0.174,"clean_bootstrap"
"clean_bootstrap",0.174,"clean_bootstrap"
"clean_bootstrap",0.176,"clean_bootstrap"
"clean_bootstrap",0.176,"clean_bootstrap"
"clean_bootstrap",0.176,"clean_bootstrap"
"clean_bootstrap",0.176,"clean_bootstrap"
"clean_bootstrap",0.178,"clean_bootstrap"
"clean_bootstrap",0.178,"clean_bootstrap"
"clean_bootstrap",0.178,"clean_bootstrap"
"clean_bootstrap",0.178,"clean_bootstrap"
"clean_bootstrap",0.178,"clean_bootstrap"
"clean_bootstrap",0.18,"clean_bootstrap"
"clean_bootstrap",0.18,"clean_bootstrap"
"clean_bootstrap",0.18,"clean_bootstrap"
"clean_bootstrap",0.18,"clean_bootstrap"
"clean_bootstrap",0.18,"clean_bootstrap"
"clean_bootstrap",0.18,"clean_bootstrap"
"clean_bootstrap",0.182,"clean_bootstrap"
"clean_bootstrap",0.182,"clean_bootstrap"
